[info]
Plant Name: Clarkson Inverter
Date: 17/04/2019

[measurements]
Time,Address,Model,MPPT,VDC1,IDC1,PDC1,VDC2,IDC2,PDC2,VAC,IAC,PAC,TINV,TINT,ENERGY,RISO,ILEAK,IRR,GENFREQ
;;;;VDC;ADC;W;VDC;ADC;W;V;A;W;°C;°C;Wh;MOhm;mA;W/mq;Hz;

[start]
15:02;2;PVI-4.2-OUTD-US-W;S;45.5;3.0;134.2;44.6;1.5;66.4;198.8;0.7;104.6;26.5;27.0;10.0;20.0;0;0;0;
15:03;2;PVI-4.2-OUTD-US-W;S;45.6;3.0;134.5;44.7;1.5;66.4;198.7;1.8;99.8;26.6;27.1;11.0;20.0;0;0;0;
15:04;2;PVI-4.2-OUTD-US-W;S;45.6;2.9;132.9;44.7;1.5;65.5;198.6;0.6;100.6;26.7;27.3;13.0;20.0;0;0;0;
15:05;2;PVI-4.2-OUTD-US-W;S;45.5;3.0;133.3;44.7;1.5;65.8;198.7;0.6;103.0;26.8;27.5;15.0;20.0;0;0;0;
15:06;2;PVI-4.2-OUTD-US-W;S;37.3;3.0;109.2;36.3;1.5;53.7;198.5;1.7;0.0;26.9;27.4;16.0;20.0;0;0;0;
15:07;2;PVI-4.2-OUTD-US-W;S;22.0;0.4;8.4;20.7;0.2;4.6;11.7;0.1;0.0;26.8;26.3;16.0;20.0;0;0;0;
15:08;2;PVI-4.2-OUTD-US-W;S;54.6;0.6;33.1;53.4;0.3;16.5;198.5;0.8;0.0;25.4;25.5;16.0;20.0;0;0;0;
15:09;2;PVI-4.2-OUTD-US-W;S;45.6;3.0;134.4;44.5;1.5;66.2;199.1;0.6;105.4;26.4;27.0;17.0;20.0;0;0;0;
15:10;2;PVI-4.2-OUTD-US-W;S;45.5;3.0;134.5;44.5;1.5;66.3;199.3;0.6;105.4;26.8;27.4;18.0;20.0;0;0;0;
15:11;2;PVI-4.2-OUTD-US-W;S;45.5;3.0;134.4;44.5;1.5;66.2;199.0;0.6;104.6;27.0;27.7;20.0;20.0;0;0;0;
15:12;2;PVI-4.2-OUTD-US-W;S;45.6;3.0;134.7;44.5;1.5;66.3;199.2;0.6;105.4;27.2;27.8;22.0;20.0;0;0;0;
15:13;2;PVI-4.2-OUTD-US-W;S;45.5;3.0;135.5;44.5;1.5;66.8;199.2;1.8;105.4;27.3;27.9;23.0;20.0;0;0;0;
15:14;2;PVI-4.2-OUTD-US-W;S;45.5;3.0;133.8;44.5;1.5;65.9;199.0;1.8;101.4;27.4;28.0;25.0;20.0;0;0;0;
15:15;2;PVI-4.2-OUTD-US-W;S;45.6;3.0;133.9;44.5;1.5;66.0;198.9;0.6;103.8;27.5;28.0;27.0;20.0;0;0;0;
15:16;2;PVI-4.2-OUTD-US-W;S;45.6;3.0;134.5;44.5;1.5;66.2;199.4;0.6;105.4;27.6;28.2;29.0;20.0;0;0;0;
15:17;2;PVI-4.2-OUTD-US-W;S;45.5;3.0;133.2;44.5;1.5;65.6;199.0;0.6;103.8;27.7;28.2;31.0;20.0;0;0;0;
15:18;2;PVI-4.2-OUTD-US-W;S;45.5;3.0;133.7;44.5;1.5;65.8;199.2;0.6;103.8;27.7;28.3;32.0;20.0;0;0;0;
15:19;2;PVI-4.2-OUTD-US-W;S;45.6;2.8;124.7;44.5;1.4;61.3;199.0;0.7;91.8;27.8;28.3;33.0;20.0;0;0;0;
15:20;2;PVI-4.2-OUTD-US-W;S;45.6;2.8;125.5;44.5;1.4;61.6;198.8;0.5;92.6;27.9;28.5;35.0;20.0;0;0;0;
15:21;2;PVI-4.2-OUTD-US-W;S;45.6;2.8;126.3;44.5;1.4;62.1;199.1;0.7;92.6;27.9;28.5;36.0;20.0;0;0;0;
15:22;2;PVI-4.2-OUTD-US-W;S;45.5;2.8;125.6;44.5;1.4;61.8;198.9;0.7;92.6;28.0;28.6;38.0;20.0;0;0;0;
15:23;2;PVI-4.2-OUTD-US-W;S;45.5;2.8;125.3;44.5;1.4;61.6;199.0;1.8;95.0;28.0;28.7;40.0;20.0;0;0;0;
15:24;2;PVI-4.2-OUTD-US-W;S;45.5;2.8;126.0;44.5;1.4;62.0;199.1;0.7;95.0;28.1;28.7;41.0;20.0;0;0;0;
15:25;2;PVI-4.2-OUTD-US-W;S;45.5;2.8;125.7;44.5;1.4;61.8;199.2;0.5;92.6;28.2;28.8;43.0;20.0;0;0;0;
15:26;2;PVI-4.2-OUTD-US-W;S;45.5;2.8;126.1;44.5;1.4;62.0;199.2;1.8;95.8;28.3;28.8;44.0;20.0;0;0;0;
15:27;2;PVI-4.2-OUTD-US-W;S;45.6;2.8;125.4;44.5;1.4;61.7;199.0;0.7;95.8;28.3;28.9;46.0;20.0;0;0;0;
15:28;2;PVI-4.2-OUTD-US-W;S;45.6;2.8;126.6;44.5;1.4;62.3;199.2;0.5;93.4;28.3;29.0;47.0;20.0;0;0;0;
15:29;2;PVI-4.2-OUTD-US-W;S;45.5;2.8;125.1;44.5;1.4;61.6;198.9;0.5;95.0;28.4;29.0;49.0;20.0;0;0;0;
15:30;2;PVI-4.2-OUTD-US-W;S;45.5;2.8;125.8;44.5;1.4;61.9;199.2;0.5;95.0;28.4;29.1;50.0;20.0;0;0;0;
15:31;2;PVI-4.2-OUTD-US-W;S;45.5;2.8;126.3;44.5;1.4;62.2;199.3;0.5;95.8;28.5;29.1;52.0;20.0;0;0;0;
15:32;2;PVI-4.2-OUTD-US-W;S;45.5;2.8;125.5;44.5;1.4;61.7;199.2;0.5;95.0;28.6;29.1;54.0;20.0;0;0;0;
15:33;2;PVI-4.2-OUTD-US-W;S;45.5;2.8;125.5;44.5;1.4;61.8;199.0;0.7;94.2;28.6;29.2;55.0;20.0;0;0;0;
